ADMINISTRATOR,CODIST,SCHOOL NAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,PHONE,FAX,ESU AFFILIATION,COUNTY,EMAIL
Richard Masters,01-0003-000,KENESAW PUBLIC SCHOOLS,110 N 5TH AVE,PO BOX 129,KENESAW,NE,68956-0129,(402)752-3215,(402)752-3579,09,ADAMS,rmasters@kenesawschools.org
Melvin Crowe,01-0123-000,SILVER LAKE PUBLIC SCHOOLS,9405 S LINCOLN AVE,PO BOX 8,ROSELAND,NE,68973-0008,(402)756-6611,(402)756-6613,09,ADAMS,mcrowe@esu9.org
Don   Weber,01-0701-000,CHRIST LUTHERAN ELEMENTARY SCH,13175 W 70TH ST,,JUNIATA,NE,68955-2138,(402)744-4991,(402)744-4971,09,ADAMS,dweber55@yahoo.com
,01-0705-000,ZION LUTHERAN ELEMENTARY SCH,465 S MARIAN RD,,HASTINGS,NE,68901-7401,(402)462-5012,(402)462-5375,09,ADAMS,
,01-4001-000,NEBRASKA YOUTH ACADEMY,4200 W 2ND BLDG 3,,HASTINGS,NE,68901-9700,(402)462-1971,(402)460-3100,02,ADAMS,
SCOTT GREGORY,02-0009-000,NELIGH-OAKDALE SCHOOLS,600 J ST,PO BOX 149,NELIGH,NE,68756-0149,(402)887-4166,(402)887-5322,08,ANTELOPE,sgregory@nowarriors.org
Dale Martin,02-2001-000,NEBRASKA UNIFIED DISTRICT 1,420 E 4TH ST,PO BOX 248,ORCHARD,NE,68764-0248,(402)893-2068,(402)893-2065,08,ANTELOPE,dalemartin@neunified1.org
Daniel Polk,02-0018-000,ELGIN PUBLIC SCHOOLS,101 N 4TH ST,PO BOX 399,ELGIN,NE,68636-0399,(402)843-2455,(402)843-2475,08,ANTELOPE,dan.polk@elgineagles.org
Michael Ashton,02-0701-000,ST BONIFACE ELEMENTARY SCHOOL,,PO BOX 179,ELGIN,NE,68636-0433,(402)843-5325,(402)843-2297,08,ANTELOPE,mwashton@archomaha.org
Michael Ashton,02-0702-000,POPE JOHN XXIII HIGH SCHOOL,303 REMINGTON ST,PO BOX 179,ELGIN,NE,68636-0179,(402)843-5325,(402)843-2297,08,ANTELOPE,mwashton@archomaha.org
Barry Schaeffer,03-0500-000,ARTHUR COUNTY SCHOOLS,111 ELM ST.,PO BOX 145,ARTHUR,NE,69121-0145,(308)764-2253,(308)764-2206,16,ARTHUR,acssuperintendent@arthurcountywolves.org
Lana Sides,04-0001-000,BANNER COUNTY PUBLIC SCHOOLS,200 SCHOOL ST,PO BOX 5,HARRISBURG,NE,69345-0005,(308)436-5262,(308)436-5252,13,BANNER,lsides@bcszone.org
Dale Hafer,05-0071-000,SANDHILLS PUBLIC SCHOOLS,107 GANDY AVE,PO BOX 29,DUNNING,NE,68833-0029,(308)538-2224,(308)538-2228,10,BLAINE,dale.hafer@sandhillsknights.org
Joan Carraher,06-0075-000,RIVERSIDE PUBLIC SCHOOLS,124 SOUTH ASH STREET,220,SPALDING,NE,68665-,(308)497-2431,(308)497-2141,10,BOONE,joan.carraher@riversideps.org
Justin Frederick,06-0017-000,ST EDWARD PUBLIC SCHOOLS,601 CLARK ST,PO BOX C,ST EDWARD,NE,68660-0138,(402)678-2282,(402)678-2284,07,BOONE,jfrederick@sted.esu7.org
Michael Ashton,06-0701-000,ST MICHAEL'S ELEMENTARY SCHOOL,520 W CHURCH ST,,ALBION,NE,68620-1199,(402)395-2926,(402)395-2926,07,BOONE,mwashton@archomaha.org
Nicole Hardwick,06-0001-000,BOONE CENTRAL SCHOOLS,605 S 6TH,PO BOX 391,ALBION,NE,68620-0391,(402)395-2134,(402)395-2137,07,BOONE,nhardwick@boonecentral.esu7.org
Casper Ningen,07-0010-000,HEMINGFORD PUBLIC SCHOOLS,911 NIOBRARA ST,PO BOX 217,HEMINGFORD,NE,69348-0217,(308)487-3328,(308)487-5215,13,BOX BUTTE,cningen@hemingfordschools.org
Troy Unzicker,07-0006-000,ALLIANCE PUBLIC SCHOOLS,1604 SWEETWATER AVE,,ALLIANCE,NE,69301-2668,(308)762-5475,(308)762-8249,13,BOX BUTTE,tunzicker@apschools.org
,07-0701-000,ST AGNES ELEMENTARY SCHOOL,1104 CHEYENNE,,ALLIANCE,NE,69301-2527,(308)762-2315,(308)762-7474,00,BOX BUTTE,
,07-0705-000,IMMANUEL EVANGELICAL LUTHERAN SCHOOL,,PO BOX 715,ALLIANCE,NE,69301-,(308)629-1601,(308)762-8218,00,BOX BUTTE,
Michael Brown,08-0051-000,BOYD COUNTY SCHOOLS,,PO BOX 109,SPENCER,NE,68777-0109,(402)589-1333,(402)589-2041,08,BOYD,mbrown@boydcounty.org
Darrell Peterson,09-0010-000,AINSWORTH COMMUNITY SCHOOLS,520 E 2ND ST,PO BOX 65,AINSWORTH,NE,69210-0065,(402)387-2333,(402)387-0525,17,BROWN,dkpeters@ainsworthschools.org
Kenneth Schroeder,10-0069-000,RAVENNA PUBLIC SCHOOLS,41750 CARTHAGE RD,PO BOX 8400,RAVENNA,NE,68869-8400,(308)452-3249,(308)452-3172,10,BUFFALO,ken.schroeder@ravennabluejays.org
Gregory   Logsdon,10-0701-000,KEARNEY CATHOLIC SCHOOLS,,PO BOX 1866,KEARNEY,NE,68848-1866,(308)234-2610,(308)234-4986,10,BUFFALO,supt@gidiocese.org
Vern Fisher,10-0002-000,GIBBON PUBLIC SCHOOLS,1030 COURT STREET,PO BOX 790,GIBBON,NE,68840-0790,(308)468-6555,(308)468-5164,10,BUFFALO,vern.fisher@gibbonpublic.org
Brian Gegg,10-0019-000,SHELTON PUBLIC SCHOOLS,210 9TH ST,PO BOX 610,SHELTON,NE,68876-0610,(308)647-6742,(308)647-5233,10,BUFFALO,bgegg@sheltonbulldogs.org
,10-0600-000,KEARNEY WEST HIGH SCHOOL,2802 30TH AVE,,KEARNEY,NE,68845-4035,(308)338-2011,(308)865-5350,10,BUFFALO,
,10-0709-000,FAITH CHRISTIAN SCH/KEARNEY,,PO BOX 3048,KEARNEY,NE,68848-3048,(308)236-8744,(308)236-8747,10,BUFFALO,
Jeffrey Vetter,10-0105-000,PLEASANTON PUBLIC SCHOOLS,,PO BOX 190,PLEASANTON,NE,68866-0190,(308)388-2041,(308)388-5502,10,BUFFALO,jvetter@pleasantonbulldogs.org
Kent Edwards,10-0007-000,KEARNEY PUBLIC SCHOOLS,310 W 24TH ST,,KEARNEY,NE,68845-5331,(308)698-8000,(308)698-8001,10,BUFFALO,kenedwards@kearneycats.com
Don   Weber,10-0702-000,ZION LUTHERAN ELEMENTARY SCH,2421 AVENUE C,,KEARNEY,NE,68847-4541,(308)234-3410,(308)236-8100,10,BUFFALO,dweber55@yahoo.com
Tom Moore,10-0119-000,AMHERST PUBLIC SCHOOLS,100 N SYCAMORE,PO BOX 8,AMHERST,NE,68812-0008,(308)826-3131,(308)826-4865,10,BUFFALO,tmoore@amherstbroncos.org
Jason Sullivan,10-0009-000,ELM CREEK PUBLIC SCHOOLS,230 EAST CALKINS AVENUE,PO BOX 490,ELM CREEK,NE,68836-0490,(308)856-4300,(308)856-4907,10,BUFFALO,jason.sullivan@elmcreekschools.org
Jeffery Smith,11-0014-000,OAKLAND CRAIG PUBLIC SCHOOLS,309 N DAVIS,,OAKLAND,NE,68045-1105,(402)685-5661,(402)685-5697,02,BURT,jsmith@ocknights.org
Freddie Hansen,11-0020-000,LYONS-DECATUR NORTHEAST SCHS,,PO BOX 526,LYONS,NE,68038-0526,(402)687-2363,(402)687-2472,02,BURT,fhansen@esu2.org
Dan Gross,11-0001-000,TEKAMAH-HERMAN COMMUNITY SCHS,112 N 13TH ST,,TEKAMAH,NE,68061-1044,(402)374-2157,(402)374-2155,02,BURT,dgross@esu2.org
Samuel Stecher,12-0502-000,EAST BUTLER PUBLIC SCHOOLS,212 S MADISON ST,PO BOX 36,BRAINARD,NE,68626-0036,(402)545-2081,(402)545-2023,07,BUTLER,sstecher@ebutler.esu7.org
Rev John Perkinton,12-0701-000,AQUINAS ST MARYS CATHOLIC SCHS,3420 MN ROAD,PO BOX 149,DAVID CITY,NE,68632-0149,(402)367-3175,(402)367-3176,07,BUTLER,fr.john-perkinton@cdolinc.net
Chad Denker,12-0056-000,DAVID CITY PUBLIC SCHOOLS,750 D ST,,DAVID CITY,NE,68632-1724,(402)367-4590,(402)367-3479,07,BUTLER,denker@dcscouts.org
Richard Hasty,13-0001-000,PLATTSMOUTH COMMUNITY SCHOOLS,1912 OLD HWY 34,,PLATTSMOUTH,NE,68048-5676,(402)296-3361,(402)296-2667,03,CASS,rhasty@pcsd.org
Rev John Perkinton,13-0701-000,ST JOHN THE BAPTIST ELEMENTARY,500 S 18TH ST,,PLATTSMOUTH,NE,68048-2001,(402)296-6230,(402)296-6961,03,CASS,fr.john-perkinton@cdolinc.net
Andrew Farber,13-0032-000,LOUISVILLE PUBLIC SCHOOLS,202 W 3RD,PO BOX 489,LOUISVILLE,NE,68037-0489,(402)234-3585,(402)234-2141,03,CASS,afarber@lpslions.org
Kenneth Heinz,13-0022-000,WEEPING WATER PUBLIC SCHOOLS,204 WEST O,PO BOX 206,WEEPING WATER,NE,68463-0206,(402)267-2445,(402)267-5217,03,CASS,kheinz@weepingwaterps.org
RYAN KNIPPELMEYER,13-0097-000,ELMWOOD-MURDOCK PUBLIC SCHOOLS,300 WYOMING ST,PO BOX 407,MURDOCK,NE,68407-0407,(402)867-2341,(402)867-2009,03,CASS,rknippelmeyer@emknighs.org
BETH JOHNSEN,13-0056-000,CONESTOGA PUBLIC SCHOOLS,104 EAST HIGH ST,PO BOX 184,MURRAY,NE,68409-0184,(402)235-2992,(402)227-2992,03,CASS,bjohnsen@conestogaps.org
Adrian Johnson,14-0008-000,HARTINGTON NEWCASTLE PUBLIC SCHOOLS,,PO BOX 75,HARTINGTON,NE,68739-0075,(402)254-3947,(402)254-3945,01,CEDAR,adrian@hnscats.org
Jeffery Hoesing,14-0045-000,RANDOLPH PUBLIC SCHOOLS,207 N PIERCE ST,PO BOX 755,RANDOLPH,NE,68771-0755,(402)337-0252,(402)337-0235,01,CEDAR,jeff.hoesing@rcards.org
RANDALL KLOOZ,14-0054-000,LAUREL-CONCORD-COLERIDGE SCHOOL,502 WAKEFIELD ST,PO BOX 8,LAUREL,NE,68745-0008,(402)256-3133,(402)256-9465,01,CEDAR,rklooz@laurel.esu1.org
Jeffrey Messersmith,14-0101-000,WYNOT PUBLIC SCHOOLS,,PO BOX 157,WYNOT,NE,68792-0157,(402)357-2121,(402)357-2524,01,CEDAR,jeff.messersmith@wynotpublicschools.org
Michael Ashton,14-0701-000,HOLY TRINITY ELEMENTARY SCHOOL,502 S BROADWAY,PO BOX 278,HARTINGTON,NE,68739-0278,(402)254-6496,(402)254-3976,01,CEDAR,mwashton@archomaha.org
Michael Ashton,14-0702-000,CEDAR CATHOLIC HIGH SCHOOL,401 S BROADWAY,PO BOX 15,HARTINGTON,NE,68739-0015,(402)254-3906,(402)254-3976,01,CEDAR,mwashton@archomaha.org
Michael Ashton,14-0703-000,WEST CATHOLIC ELEMENTARY SCH,303 OMAHA ST,PO BOX 167,FORDYCE,NE,68736-0167,(402)357-3507,(402)357-3551,01,CEDAR,mwashton@archomaha.org
Michael Ashton,14-0704-000,EAST CATHOLIC ELEMENTARY SCH,108 W 889 RD,,HARTINGTON,NE,68739-6079,(402)254-2146,(402)254-3758,01,CEDAR,mwashton@archomaha.org
Joseph Lefdal,15-0010-000,CHASE COUNTY SCHOOLS,520 E 9TH ST,PO BOX 577,IMPERIAL,NE,69033-0577,(308)882-4304,(308)882-5629,15,CHASE,jlefdal@chasecountyschools.org
Randy Geier,15-0536-000,WAUNETA-PALISADE PUBLIC SCHS,214 W WICHITA,PO BOX 368,WAUNETA,NE,69045-0368,(308)394-5700,(308)394-5962,15,CHASE,rgeier724@gmail.com
,16-0701-000,ZION LUTHERAN ELEMENTARY SCH,224 N GOVERNMENT ST,,VALENTINE,NE,69201-1924,(402)376-2745,(402)376-2720,17,CHERRY,
Adam Lambert,16-0030-000,CODY-KILGORE PUBLIC SCHS,360 W 4TH ST,PO BOX 216,CODY,NE,69211-0216,(402)823-4190,(402)823-4275,17,CHERRY,alambert@cody-kilgore.com
Jamie Isom,16-0006-000,VALENTINE COMMUNITY SCHOOLS,431 N GREEN ST,,VALENTINE,NE,69201-1969,(402)376-1780,(402)376-2736,17,CHERRY,jisom@vcsbadger.net
Rodney Jay Ehler,17-0001-000,SIDNEY PUBLIC SCHOOLS,1101 21ST AVE,,SIDNEY,NE,69162-1948,(308)254-5855,(308)254-5756,13,CHEYENNE,jay.ehler@raidermail.org
Michael Williams,17-0009-000,POTTER-DIX PUBLIC SCHOOLS,303 WALNUT,PO BOX 189,POTTER,NE,69156-0415,(308)879-4434,(308)879-4566,13,CHEYENNE,mike.williams@pdcoyotes.org
Loreda Miller,17-0003-000,LEYTON PUBLIC SCHOOLS,504 MAIN ST,PO BOX 297,DALTON,NE,69131-0297,(308)377-2301,(308)377-2304,13,CHEYENNE,lorrie.miller@leytonwarriors.org
Dana Wiseman,18-0002-000,SUTTON PUBLIC SCHOOLS,1107 N SAUNDERS,PO BOX 590,SUTTON,NE,68979-0590,(402)773-5569,(402)773-5578,09,CLAY,dwiseman@spsne.org
,18-0701-000,SUTTON CHRISTIAN SCHOOL,1004 E. ASH ST,PO BOX 321,SUTTON,NE,68979-0321,(402)773-4845,,09,CLAY,
Michael Derr,18-0011-000,HARVARD PUBLIC SCHOOLS,506 E NORTH ST,PO BOX 100,HARVARD,NE,68944-0100,(402)772-2171,(402)772-2204,09,CLAY,mderr@harvardcardinals.org
Dan Hoesing,19-0123-000,SCHUYLER COMMUNITY SCHOOLS,401 ADAM ST,,SCHUYLER,NE,68661-2400,(402)352-3527,(402)352-5552,07,COLFAX,dan.hoesing@schuylercommunityschools.org
,19-0703-000,ST JOHN NEUMANN ELEMENTARY SCH,,PO BOX 457,CLARKSON,NE,68629-0457,(402)892-3474,(402)892-3474,07,COLFAX,
Rich Lemburg,19-0058-000,CLARKSON PUBLIC SCHOOLS,649 CHERRY ST,PO BOX 140,CLARKSON,NE,68629-0140,(402)892-3454,(402)892-3455,07,COLFAX,rlemburg@clarkson.esu7.org
Jeffrey Walburn,19-0070-000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,P.O. BOX 159,PO BOX 159,HOWELLS,NE,68641-4133,(402)986-1621,(402)986-1261,07,COLFAX,jwalburn@hdcjags.org
Michael Ashton,19-0704-000,HOWELLS COMMUNITY CATHOLIC SCHOOL,114 N 6TH ST,,HOWELLS,NE,68641-4038,(402)986-1689,(402)986-1689,07,COLFAX,mwashton@archomaha.org
Stephanie Petersen,19-0039-000,LEIGH COMMUNITY SCHOOLS,310 SHORT ST,PO BOX 98,LEIGH,NE,68643-0098,(402)487-2228,(402)487-2607,07,COLFAX,spetersen@leigh.esu7.org
Chad Boyer,20-0030-000,WISNER-PILGER PUBLIC SCHOOLS,801 18TH ST,PO BOX 580,WISNER,NE,68791-0580,(402)529-3249,(402)529-3477,02,CUMING,cboyer@igators.org
Michael Ashton,20-0710-000,GUARDIAN ANGELS CENTRAL CATHOLIC SCHOOLS,419 E DECATUR,,WEST POINT,NE,68788-1597,(402)372-5326,(402)372-5327,02,CUMING,mwashton@archomaha.org
Jon Cerny,20-0020-000,BANCROFT-ROSALIE COMM SCHOOLS,708 MAIN ST,PO BOX 129,BANCROFT,NE,68004-0129,(402)648-3336,(402)648-3338,02,CUMING,jcerny@esu2.org
Don   Weber,20-0703-000,ST PAUL LUTHERAN ELEM SCHOOL,325 N COLFAX,,WEST POINT,NE,68788-1426,(402)372-2355,(402)372-2742,00,CUMING,dweber55@yahoo.com
Bill Mcallister,20-0001-000,WEST POINT PUBLIC SCHOOLS,1200 E WASHINGTON,,WEST POINT,NE,68788-2505,(402)372-5860,(402)372-5458,02,CUMING,wmcallister@wpcadets.org
Wayne Ruppert,21-0084-000,SARGENT PUBLIC SCHOOLS,400 N 5TH ST,PO BOX 366,SARGENT,NE,68874-0366,(308)527-4119,(308)527-3332,10,CUSTER,wruppert@loupcountyschools.org
David Mroczek,21-0044-000,ANSLEY PUBLIC SCHOOLS,,PO BOX 370,ANSLEY,NE,68814-0370,(308)935-1121,(308)935-9103,10,CUSTER,dave.mroczek@esu10.org
Dawn Lewis,21-0089-000,ARNOLD PUBLIC SCHOOLS,405 N HASKELL,PO BOX 399,ARNOLD,NE,69120-0399,(308)848-2226,(308)848-2201,10,CUSTER,dawnlewis@esu10.org
Dawn Lewis,21-0180-000,CALLAWAY PUBLIC SCHOOLS,,PO BOX 280,CALLAWAY,NE,68825-5202,(308)836-2272,(308)836-2771,10,CUSTER,dawnlewis@esu10.org
Thomas Bailey,21-0025-000,BROKEN BOW PUBLIC SCHOOLS,323 N 7TH AVE,,BROKEN BOW,NE,68822-1718,(308)872-6821,(308)872-2751,10,CUSTER,tom.bailey@bbps.org
Patrick Osmond,21-0015-000,ANSELMO-MERNA PUBLIC SCHOOLS,,PO BOX 68,MERNA,NE,68856-0068,(308)643-2224,(308)643-2243,10,CUSTER,pat.osmond@amcoyotes.org
Gregg Cruickshank,22-0031-000,HOMER COMMUNITY SCHOOLS,212 S 3RD,PO BOX 340,HOMER,NE,68030-0340,(402)698-2377,(402)698-2379,01,DAKOTA,greggcruickshank@homerknights.org
Michael Ashton,22-0701-000,ST MICHAEL ELEMENTARY SCHOOL,1315 1ST AVE,,SO SIOUX CITY,NE,68776-2205,(402)494-1526,(402)494-4283,01,DAKOTA,mwashton@archomaha.org
Todd Strom,22-0011-000,SO SIOUX CITY COMMUNITY SCHS,210 WEST 39TH ST,PO BOX 158,SO SIOUX CITY,NE,68776-0158,(402)494-2425,(402)494-3916,01,DAKOTA,todd.strom@ssccardinals.org
,23-0601-000,PINE RIDGE JOB CORPS,15710 HWY 385,,CHADRON,NE,69337-7505,(308)432-8650,(308)432-8655,13,DAWES,
,23-0701-000,PRAIRIE VIEW S D A SCHOOL,602 BORDEAUX ST,,CHADRON,NE,69337-2611,(308)432-4228,(308)432-6517,00,DAWES,
,23-0704-000,TRUNK BUTTE CHRISTIAN SCHOOL,5240 HWY 20,,CHADRON,NE,69337-6942,(308)432-3717,(308)000-0000,13,DAWES,
,23-0705-000,COLLEGE HEIGHTS ACADEMY,237 MOREHEAD,,CHADRON,NE,69337-,(308)430-1106,,13,DAWES,
Caroline Winchester,23-0002-000,CHADRON PUBLIC SCHOOLS,602 E 10TH,,CHADRON,NE,69337-2859,(308)432-0700,(308)432-0702,13,DAWES,caroline.winchester@chadronschools.net
Kirk Hughes,23-0071-000,CRAWFORD PUBLIC SCHOOLS,908 5TH ST,,CRAWFORD,NE,69339-1204,(308)665-1537,(308)665-1909,13,DAWES,kirk.hughes@cpsrams.org
John Hakonson,24-0001-000,LEXINGTON PUBLIC SCHOOLS,300 S WASHINGTON ST,PO BOX 890,LEXINGTON,NE,68850-0890,(308)324-4681,(308)324-2528,10,DAWSON,john.hakonson@lexschools.org
MICHAEL TEAHON,24-0020-000,GOTHENBURG PUBLIC SCHOOLS,1322 AVENUE I,,GOTHENBURG,NE,69138-1799,(308)537-3651,(308)537-3965,10,DAWSON,michael.teahon@goswedes.org
Kevin Finkey,24-0101-000,SUMNER-EDDYVILLE-MILLER SCHS,205 E 5TH AVE,PO BOX 126,SUMNER,NE,68878-0126,(308)752-2925,(308)752-2600,10,DAWSON,kfinkey@semmustangs.org
Joel Applegate,24-0011-000,COZAD COMMUNITY SCHOOLS,1910 MERIDIAN AVE,,COZAD,NE,69130-1159,(308)784-2745,(308)217-4504,10,DAWSON,joel.applegate@cozadschools.net
Mark Aten,24-0004-000,OVERTON PUBLIC SCHOOLS,401 7TH ST,PO BOX 310,OVERTON,NE,68863-0310,(308)987-2424,(308)987-2349,10,DAWSON,mark.aten@overtoneagles.org
Ron Howard,25-0025-000,CREEK VALLEY SCHOOLS,6TH & HAYWARD,PO BOX 608,CHAPPELL,NE,69129-0608,(308)874-2911,(308)874-2602,13,DEUEL,ron.howard@cvsstorm.com
David Spencer,25-0095-000,SOUTH PLATTE PUBLIC SCHOOLS,,PO BOX 457,BIG SPRINGS,NE,69122-0457,(308)889-3622,(308)889-3523,16,DEUEL,dspencer@southplatteschools.com
Jody Phillips,26-0001-000,PONCA PUBLIC SCHOOLS,505 3RD ST,PO BOX 568,PONCA,NE,68770-0568,(402)755-5700,(402)755-5773,01,DIXON,jodyphillips@poncaschool.org
Lindsey Burback,26-0561-000,EMERSON-HUBBARD PUBLIC SCHOOLS,109 W THIRD ST,PO BOX 9,EMERSON,NE,68733-0009,(402)695-2621,(402)695-2622,01,DIXON,lburback@ehpirates.org
Michael Pattee,26-0070-000,ALLEN CONSOLIDATED SCHOOLS,126 E 5TH,PO BOX 190,ALLEN,NE,68710-0190,(402)635-2484,(402)635-2331,01,DIXON,mpattee@allenschools.org
Don   Weber,27-0702-000,TRINITY LUTHERAN ELEM SCHOOLS,1546 N LUTHER RD,,FREMONT,NE,68025-3784,(402)721-5959,(402)721-5537,02,DODGE,dweber55@yahoo.com
Jeremy Klein,27-0594-000,LOGAN VIEW PUBLIC SCHOOLS,2163 COUNTY ROAD G,,HOOPER,NE,68031-1259,(402)654-3317,(402)654-3699,02,DODGE,jklein@loganview.org
Michael Ashton,27-0701-000,ARCHBISHOP BERGAN SCHOOL,545 E 4TH ST,,FREMONT,NE,68025-5105,(402)721-9683,(402)721-5366,02,DODGE,mwashton@archomaha.org
Michael Ashton,27-0704-000,ST WENCESLAUS ELEM SCHOOL,212 N LINDEN ST,,DODGE,NE,68633-3519,(402)693-2819,(402)693-2819,07,DODGE,mwashton@archomaha.org
Michael Ashton,27-0706-000,ARCHBISHOP BERGAN ELEMENTARY,1515 N JOHNSON ROAD,,FREMONT,NE,68025-5105,(402)721-9766,(402)721-1180,02,DODGE,mwashton@archomaha.org
Mark Shepard,27-0001-000,FREMONT PUBLIC SCHOOLS,130 E 9TH STREET,,FREMONT,NE,68025-1401,(402)727-3000,(402)727-3002,02,DODGE,mark.shepard@fpsmail.org
Ginger Meyer,27-0062-000,SCRIBNER-SNYDER COMMUNITY SCHS,400 PEBBLE,PO BOX L,SCRIBNER,NE,68057-0549,(402)664-2567,(402)664-2708,02,DODGE,gingermeyer@sstrojans.org
Daniel Endorf,27-0595-000,NORTH BEND CENTRAL PUBLIC SCHS,,PO BOX 160,NORTH BEND,NE,68649-0160,(402)652-3268,(402)652-8348,02,DODGE,dendorf@nbtigers.org
Robert   Reznicek,28-0703-000,BOYS TOWN SCHOOLS,13803 FLANAGAN BLVD,,BOYS TOWN,NE,68010-0703,(402)498-1853,(402)498-3246,00,DOUGLAS,robert.reznicek@boystown.org
MARK EVANS,28-0001-000,OMAHA PUBLIC SCHOOLS,3215 CUMING ST,,OMAHA,NE,68131-2024,(402)557-2222,(402)557-2019,19,DOUGLAS,mark.evans@ops.org
Terrence Haack,28-0059-000,BENNINGTON PUBLIC SCHOOLS,11620 N 156TH ST,PO BOX 309,BENNINGTON,NE,68007-0265,(402)238-3044,(402)238-2185,03,DOUGLAS,thaack@bennps.org
